,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
139,22430.0,2025-03-12 11:34:00,NFO,27-MAR-2025,22437.4,22430.0,22431.0,17794650,Futures,NIFTY,10275
140,22433.75,2025-03-12 11:35:00,NFO,27-MAR-2025,22435.0,22428.05,22430.0,17794650,Futures,NIFTY,16425
141,22434.0,2025-03-12 11:36:00,NFO,27-MAR-2025,22436.0,22432.0,22433.75,17795250,Futures,NIFTY,4425
142,22414.65,2025-03-12 11:37:00,NFO,27-MAR-2025,22434.0,22414.65,22432.0,17795250,Futures,NIFTY,64125
143,22410.0,2025-03-12 11:38:00,NFO,27-MAR-2025,22416.0,22406.2,22413.1,17795250,Futures,NIFTY,42075
144,22407.0,2025-03-12 11:39:00,NFO,27-MAR-2025,22413.55,22402.1,22410.6,17790975,Futures,NIFTY,25800
145,22395.75,2025-03-12 11:40:00,NFO,27-MAR-2025,22408.6,22394.95,22407.0,17790975,Futures,NIFTY,57375
146,22404.0,2025-03-12 11:41:00,NFO,27-MAR-2025,22404.0,22390.8,22395.7,17790975,Futures,NIFTY,33150
147,22403.0,2025-03-12 11:42:00,NFO,27-MAR-2025,22410.8,22401.25,22405.0,17782500,Futures,NIFTY,19425
148,22411.8,2025-03-12 11:43:00,NFO,27-MAR-2025,22413.95,22401.5,22403.0,17782500,Futures,NIFTY,11025
149,22405.0,2025-03-12 11:44:00,NFO,27-MAR-2025,22411.0,22403.0,22411.0,17782500,Futures,NIFTY,22650
150,22397.25,2025-03-12 11:45:00,NFO,27-MAR-2025,22408.0,22397.1,22406.0,17790075,Futures,NIFTY,16125
151,22410.0,2025-03-12 11:46:00,NFO,27-MAR-2025,22411.0,22397.25,22399.0,17790075,Futures,NIFTY,9075
152,22410.0,2025-03-12 11:47:00,NFO,27-MAR-2025,22413.7,22407.0,22410.0,17790075,Futures,NIFTY,11175
153,22403.0,2025-03-12 11:48:00,NFO,27-MAR-2025,22410.85,22403.0,22410.7,17792475,Futures,NIFTY,19725
154,22407.65,2025-03-12 11:49:00,NFO,27-MAR-2025,22407.7,22400.0,22405.8,17792475,Futures,NIFTY,7800
155,22408.55,2025-03-12 11:50:00,NFO,27-MAR-2025,22412.8,22406.1,22407.65,17792475,Futures,NIFTY,10050
156,22403.0,2025-03-12 11:51:00,NFO,27-MAR-2025,22409.95,22402.0,22409.95,17800875,Futures,NIFTY,5250
157,22403.2,2025-03-12 11:52:00,NFO,27-MAR-2025,22405.0,22400.0,22403.0,17800875,Futures,NIFTY,5775
158,22399.0,2025-03-12 11:53:00,NFO,27-MAR-2025,22405.0,22399.0,22403.2,17800875,Futures,NIFTY,6450
159,22392.0,2025-03-12 11:54:00,NFO,27-MAR-2025,22402.0,22392.0,22398.0,17802450,Futures,NIFTY,9600
160,22402.05,2025-03-12 11:55:00,NFO,27-MAR-2025,22404.9,22390.05,22392.0,17802450,Futures,NIFTY,10125
161,22405.0,2025-03-12 11:56:00,NFO,27-MAR-2025,22409.2,22401.1,22404.95,17802450,Futures,NIFTY,6000
162,22392.4,2025-03-12 11:57:00,NFO,27-MAR-2025,22405.0,22392.0,22405.0,17808825,Futures,NIFTY,9150
163,22392.0,2025-03-12 11:58:00,NFO,27-MAR-2025,22394.8,22382.0,22391.2,17808825,Futures,NIFTY,29775
164,22389.0,2025-03-12 11:59:00,NFO,27-MAR-2025,22395.0,22387.05,22392.0,17808825,Futures,NIFTY,7575
165,22389.5,2025-03-12 12:00:00,NFO,27-MAR-2025,22395.0,22387.0,22389.75,17824125,Futures,NIFTY,10650
166,22389.05,2025-03-12 12:01:00,NFO,27-MAR-2025,22393.7,22389.0,22390.0,17824125,Futures,NIFTY,10875
167,22400.0,2025-03-12 12:02:00,NFO,27-MAR-2025,22400.0,22388.9,22389.05,17824125,Futures,NIFTY,18675
168,22400.35,2025-03-12 12:03:00,NFO,27-MAR-2025,22403.95,22394.25,22400.0,17816025,Futures,NIFTY,15150
169,22392.1,2025-03-12 12:04:00,NFO,27-MAR-2025,22400.95,22391.1,22400.0,17816025,Futures,NIFTY,17325
170,22394.45,2025-03-12 12:05:00,NFO,27-MAR-2025,22400.0,22386.65,22392.1,17816025,Futures,NIFTY,6900
171,22404.0,2025-03-12 12:06:00,NFO,27-MAR-2025,22407.85,22394.45,22394.45,17824200,Futures,NIFTY,5850
172,22410.1,2025-03-12 12:07:00,NFO,27-MAR-2025,22411.75,22404.0,22404.95,17824200,Futures,NIFTY,10275
173,22409.0,2025-03-12 12:08:00,NFO,27-MAR-2025,22410.1,22405.55,22410.1,17824200,Futures,NIFTY,10200
174,22407.85,2025-03-12 12:09:00,NFO,27-MAR-2025,22410.7,22407.85,22410.55,17830875,Futures,NIFTY,3750
175,22406.95,2025-03-12 12:10:00,NFO,27-MAR-2025,22409.65,22404.0,22406.9,17830875,Futures,NIFTY,5925
176,22404.9,2025-03-12 12:11:00,NFO,27-MAR-2025,22410.0,22404.9,22407.95,17830875,Futures,NIFTY,6450
177,22406.65,2025-03-12 12:12:00,NFO,27-MAR-2025,22409.9,22403.0,22407.8,17837100,Futures,NIFTY,3150
178,22406.0,2025-03-12 12:13:00,NFO,27-MAR-2025,22411.45,22405.0,22406.65,17837100,Futures,NIFTY,6825
179,22413.95,2025-03-12 12:14:00,NFO,27-MAR-2025,22414.45,22402.75,22403.0,17837100,Futures,NIFTY,12300
180,22420.0,2025-03-12 12:15:00,NFO,27-MAR-2025,22420.0,22407.6,22413.0,17845350,Futures,NIFTY,31500
181,22408.4,2025-03-12 12:16:00,NFO,27-MAR-2025,22420.0,22408.4,22420.0,17845350,Futures,NIFTY,17250
182,22403.0,2025-03-12 12:17:00,NFO,27-MAR-2025,22411.0,22403.0,22408.4,17845350,Futures,NIFTY,5925
183,22397.05,2025-03-12 12:18:00,NFO,27-MAR-2025,22407.0,22396.1,22406.95,17854350,Futures,NIFTY,11250
184,22395.15,2025-03-12 12:19:00,NFO,27-MAR-2025,22400.0,22394.35,22397.05,17854350,Futures,NIFTY,8550
185,22390.35,2025-03-12 12:20:00,NFO,27-MAR-2025,22395.75,22386.9,22395.7,17854350,Futures,NIFTY,28500
186,22398.55,2025-03-12 12:21:00,NFO,27-MAR-2025,22399.0,22390.35,22390.35,17848350,Futures,NIFTY,7275
187,22393.0,2025-03-12 12:22:00,NFO,27-MAR-2025,22400.0,22393.0,22394.1,17848350,Futures,NIFTY,6000
188,22396.0,2025-03-12 12:23:00,NFO,27-MAR-2025,22398.45,22390.3,22396.0,17848350,Futures,NIFTY,5250
189,22397.7,2025-03-12 12:24:00,NFO,27-MAR-2025,22399.85,22394.0,22396.0,17848350,Futures,NIFTY,1650
190,22396.1,2025-03-12 12:25:00,NFO,27-MAR-2025,22400.0,22393.1,22397.7,17852700,Futures,NIFTY,2625
191,22401.05,2025-03-12 12:26:00,NFO,27-MAR-2025,22401.05,22392.0,22395.0,17852700,Futures,NIFTY,7350
192,22403.0,2025-03-12 12:27:00,NFO,27-MAR-2025,22403.25,22400.0,22400.0,17857425,Futures,NIFTY,5475
193,22405.0,2025-03-12 12:28:00,NFO,27-MAR-2025,22408.1,22396.2,22400.1,17857425,Futures,NIFTY,12525
194,22410.0,2025-03-12 12:29:00,NFO,27-MAR-2025,22411.9,22405.0,22405.0,17857425,Futures,NIFTY,5025
195,22415.0,2025-03-12 12:30:00,NFO,27-MAR-2025,22415.0,22408.0,22410.0,17869800,Futures,NIFTY,7425
196,22417.7,2025-03-12 12:31:00,NFO,27-MAR-2025,22420.0,22412.15,22412.15,17869800,Futures,NIFTY,12000
197,22422.0,2025-03-12 12:32:00,NFO,27-MAR-2025,22423.35,22415.0,22417.95,17869800,Futures,NIFTY,19200
198,22422.0,2025-03-12 12:33:00,NFO,27-MAR-2025,22422.0,22415.0,22421.95,17884950,Futures,NIFTY,10950
199,22420.35,2025-03-12 12:34:00,NFO,27-MAR-2025,22423.1,22416.15,22422.0,17884950,Futures,NIFTY,10950
200,22419.05,2025-03-12 12:35:00,NFO,27-MAR-2025,22424.15,22415.8,22423.0,17884950,Futures,NIFTY,8700
201,22419.0,2025-03-12 12:36:00,NFO,27-MAR-2025,22421.95,22412.45,22419.05,17886825,Futures,NIFTY,8325
202,22419.55,2025-03-12 12:37:00,NFO,27-MAR-2025,22421.0,22415.0,22419.0,17886825,Futures,NIFTY,6300
203,22418.35,2025-03-12 12:38:00,NFO,27-MAR-2025,22419.8,22415.65,22419.55,17886825,Futures,NIFTY,2475
204,22405.0,2025-03-12 12:39:00,NFO,27-MAR-2025,22418.35,22402.4,22418.35,17886825,Futures,NIFTY,8025
205,22400.0,2025-03-12 12:40:00,NFO,27-MAR-2025,22405.1,22400.0,22405.0,17892675,Futures,NIFTY,6975
206,22395.25,2025-03-12 12:41:00,NFO,27-MAR-2025,22402.0,22395.0,22400.0,17892675,Futures,NIFTY,12900
207,22391.35,2025-03-12 12:42:00,NFO,27-MAR-2025,22396.0,22390.0,22396.0,17901750,Futures,NIFTY,9300
208,22393.1,2025-03-12 12:43:00,NFO,27-MAR-2025,22394.0,22391.0,22391.35,17901750,Futures,NIFTY,3525
209,22394.0,2025-03-12 12:44:00,NFO,27-MAR-2025,22394.0,22389.7,22393.1,17901750,Futures,NIFTY,8925
210,22397.0,2025-03-12 12:45:00,NFO,27-MAR-2025,22397.0,22388.65,22392.05,17905275,Futures,NIFTY,7950
211,22384.65,2025-03-12 12:46:00,NFO,27-MAR-2025,22399.1,22380.2,22396.0,17905275,Futures,NIFTY,16500
212,22391.7,2025-03-12 12:47:00,NFO,27-MAR-2025,22394.1,22384.7,22384.7,17905275,Futures,NIFTY,6975
213,22388.1,2025-03-12 12:48:00,NFO,27-MAR-2025,22394.7,22385.7,22391.7,17909250,Futures,NIFTY,3675
214,22388.0,2025-03-12 12:49:00,NFO,27-MAR-2025,22392.7,22385.0,22388.05,17909250,Futures,NIFTY,6075
215,22389.95,2025-03-12 12:50:00,NFO,27-MAR-2025,22393.9,22385.55,22386.6,17909250,Futures,NIFTY,5850
216,22394.4,2025-03-12 12:51:00,NFO,27-MAR-2025,22395.95,22388.3,22389.95,17909250,Futures,NIFTY,3075
217,22399.65,2025-03-12 12:52:00,NFO,27-MAR-2025,22399.65,22385.8,22394.4,17914425,Futures,NIFTY,28500
218,22405.25,2025-03-12 12:53:00,NFO,27-MAR-2025,22407.75,22396.3,22396.3,17914425,Futures,NIFTY,5475
219,22414.5,2025-03-12 12:54:00,NFO,27-MAR-2025,22415.35,22405.0,22405.25,17896200,Futures,NIFTY,8250
220,22415.0,2025-03-12 12:55:00,NFO,27-MAR-2025,22420.6,22412.05,22414.5,17896200,Futures,NIFTY,8850
221,22424.0,2025-03-12 12:56:00,NFO,27-MAR-2025,22425.0,22415.0,22419.25,17896200,Futures,NIFTY,32625
222,22424.75,2025-03-12 12:57:00,NFO,27-MAR-2025,22425.0,22422.0,22425.0,17901075,Futures,NIFTY,7650
223,22415.0,2025-03-12 12:58:00,NFO,27-MAR-2025,22423.0,22415.0,22423.0,17901075,Futures,NIFTY,4275
224,22412.7,2025-03-12 12:59:00,NFO,27-MAR-2025,22419.0,22412.05,22415.05,17901075,Futures,NIFTY,3075
225,22407.0,2025-03-12 13:00:00,NFO,27-MAR-2025,22413.4,22407.0,22413.0,17899650,Futures,NIFTY,4875
226,22419.55,2025-03-12 13:01:00,NFO,27-MAR-2025,22419.55,22406.0,22407.0,17899650,Futures,NIFTY,4050
227,22418.0,2025-03-12 13:02:00,NFO,27-MAR-2025,22419.55,22415.0,22419.55,17899650,Futures,NIFTY,7275
228,22428.6,2025-03-12 13:03:00,NFO,27-MAR-2025,22428.6,22416.0,22418.0,17893575,Futures,NIFTY,5775
229,22429.0,2025-03-12 13:04:00,NFO,27-MAR-2025,22430.0,22425.85,22428.6,17893575,Futures,NIFTY,8400
230,22421.35,2025-03-12 13:05:00,NFO,27-MAR-2025,22430.0,22420.3,22430.0,17893575,Futures,NIFTY,8775
231,22421.1,2025-03-12 13:06:00,NFO,27-MAR-2025,22428.0,22421.0,22421.35,17893575,Futures,NIFTY,2775
232,22424.6,2025-03-12 13:07:00,NFO,27-MAR-2025,22427.0,22421.05,22424.0,17892150,Futures,NIFTY,3750
233,22429.1,2025-03-12 13:08:00,NFO,27-MAR-2025,22434.9,22423.6,22424.6,17892150,Futures,NIFTY,17925
